valueID,note
b_493,[Configure role's permissions for tenant] Status codes are different in the same case - unexisted roleID
b_494,[Map view] Highlighted segments is displayed incorrectly if the map is zoomed in/out
b_495,[Assign permission to app] Cannot assign permissions that have long description to the app
b_496,[Add new permission at platform level] [Empty permission list...] must be displayed instead of [No permission is defined...] if all service permissions have been already added
b_497,[Add new permission at platform level] Solution for dynamic content (service name) in the warning dialog
b_498,[Add new permission at platform level] Max length of description input is incorrect (expected 512 characters instead of 256)
b_499,[Configure role's permissions for tenant] App permission name is not displayed in tenant role when add new required permission at platform level
b_500,[Configure role's permissions for tenant] Sort by permission name in the assigned app permissions in tenant role is not work
b_501,[Configure role's permissions for tenant] Warning message is displayed incorrectly
b_502,[Configure role's permissions for tenant] Two scroll bars are displayed in tenant role's app permissions table
b_503,[Configure role's permissions for tenant] The newly added required permissions in platform is not added to tenant role automatically
b_504,[Add new permission at platform level] Status 204 when adding a new service permission to an app
b_505,[Add new permission at platform level] All users subscribed to Tenant management app have permissions even though business admin or tenant admin
b_506,[Tenant role management] The lastest added permissions are remained although remove all app permission in tenant role management
b_507,[Application management] Sorting does not work correctly in app permission table at platform level
b_508,[Application management] Cannot add service permission as a required app permission
b_509,[Application management] Sorting in required tab does not work independent of optional tab when adding a new optional permission and vice versa
b_510,[Add users to platform role] Status code 400 if add invalid users to Portal user
b_511,[Tenant role management] Two scroll bar are displayed in Add app permissions to tenant role dialog
b_512,[Segments] Status code 400 instead of 204 if tenant has no segment
b_513,[Segments] Status code 500 instead of 403 if appId is null or wrong format
b_514,[Segments] lastInspectionDate must be null if segment has no inspection
b_515,[Segments] outerDiameter 
b_516,[Map view] Segment is zoomed automatically even though it can see on the viewport
b_517,[Map view] Cannot click in the marker to select a segment
b_518,Segments on map should turns into marker altogether
b_519,[Segments] Status code 500 when calling update cache
b_520,"When segment selection change, and map viewport adjustment is required, please consider modify map center first, avoid unnecessary map zooming adjustment"
b_521,[2FA] Background displayed with large scale
b_522,[2FA] Style of CONTINUE is not the same as the design
b_523,[Update timeline] Response 204 even though the tenant already has data
b_524,[Update timeline] Status code 500 instead of 204 if tenant has no data
b_525,[Map view] Cannot drag map to the segment position
b_526,[Update timeline] Response data of update endpoint includes 'inspection' (expected: only 'segment')
b_527,[Update timeline] Status code 200 with data instead of 400 if tenantId is wrong format
b_528,[Update timeline] The last update is covered by toolbar
b_529,[Remove permission at platform level] NEW indicators are displayed despite the old app permissions
b_530,[Remove permission at platform level] App permissions are displayed in platform role even though there is no permission in the application
b_531,[Remove permission at platform level] Cannot remove app permissions of Asset Management in tenant role
b_532,[Remove permission at platform level] Try again must be replaced if it is clicked some times (status code 500)
b_533,[Remove permission at platform level] Remove dialog still displays despite navigating to page 403 (status code 403)
b_534,[Remove permission at platform level] Dialog padding is not the same as the design
b_535,"[AE] When user clicks on a single selected segment, that segment should remain selected."
b_536,Behavior after select segment on mobile device
b_537,[Inspection list] Default sorting of inspection list is descending by date but the option ascending by date is checked
b_538,[Inspection list] The sorting of inspection list is incorrect after filtering
b_539,[Inspection list] 'Empty inspection...' must be displayed instead of 'No search result..' if the tenant has no data
b_540,[Inspection list] Hover state of filter option is not the same as the design
b_541,[Inspection list] Targets must be arranged by name (ascending)
b_542,"Client line name should be ""N/A"" if data isn't available"
b_543,Keep update timeline closed until user open it
b_544,Incorrect multi segment select behavior
b_545,Adjust map viewport to best display selected pipeline segments if select from inspection
b_546,Data became empty when the app is just triggered or sometimes the app went to sleep
b_547,[Segment information] n/a must be displayed if there is no data
b_548,[Filter pipeline segments] Wrong highlight color when filtered segment de-selected
b_549,[Filter pipeline segment] The segment is highlighted although it does not match the filter
b_550,[Platform built-in role permission configuration] Table in Add app permission dialog is broken with short value
b_551,[Platform built-in role permission configuration] Accept button is enabled even though no permission is chosen
b_552,[Platform built-in role permission configuration] App name is incorrect if add new permissions while opening the other app
b_553,[Platform built-in role permission configuration] Spelling mistake in Add app permission dialog
b_554,[Platform built-in role permission configuration] Adjust pop-up message for app permission loading error
b_555,[Platform built-in role permission configuration] The app permissions/ app name are still displayed even though they were removed
b_556,[Platform built-in role permission configuration] Confirmation dialog is still displayed when navigating to page 403
b_557,[Platform built-in role permission configuration] [Add app. permissions] button is disappeared if all app permissions of a platform role are removed
b_558,[Platform built-in role permission configuration] Confirmation dialog is displayed when clicking Discard button despite no permission is chosen
b_559,[Filter pipeline segments] Background of error message is not the same as the design
b_560,[Filter pipeline segments] Chips' OD & Pipe grade is displayed with incorrect data
b_561,[Filter pipeline segments] The segments are not highlighted automatically
b_562,[Filter pipeline segments] Cannot clear the content in time range inputs
b_563,[Filter pipeline segments] Time range must be enable if inspection status is active despite Inspected or Not inspected
b_564,[AE] [Mobile] Unable to access to menu
b_565,[Filter pipeline segments] Unable to set greater date for from date
b_566,[Filter pipeline segments] Value of the WT inputs are disappeared with the value pair is 1-0
b_567,[Filter pipeline segments] WT inputs accept more than 3 decimals (expected: less than or equal 3)
b_568,[Filter pipeline segments] Label of the chip for time range is incorrect if the start date & end date are the same
b_569,[Filter pipeline segments] Using point and comma in decimals
b_570,[Search inspection by client line name] Inspections are repeated when using Search
b_571,[Search inspection by client line name] Search is not working with some special keywords
b_572,[Search inspection by client line name] Selected inspection is not highlighted while Search is using
b_573,[Filter pipeline segments] User should only select the current date or earlier
b_574,[Edit filter chip] Filter result is incorrect if remaining filter condition is only [Time range]
b_575,[Search inspection by client line name] Search shows No result before showing result list when user just entered to AE
b_576,[Search inspection by client line name] Confusing result displays after searched inspection
b_577,[Edit filter chip] No segments are highlighted if filter has WT greater than 0
b_578,"[Go to an approximate GPS location] Go to GPS works incorrectly if input data using , instead of . for decimal"
b_579,[Edit filter chip] Other actions in filter must be disabled when an action is loading
b_580,[Map view] Cutting points is un-highlighted if zooming in/ out
b_581,[Edit filter chip] Cannot remove value in the right input in WT
b_582,[Edit filter chip] WT inputs do not round the value to 3 decimals if it is greater than 3 decimals
b_583,[Edit filter chip] Filter result is incorrect with some conditions
b_584,[Filter pipeline segments] Message is displayed when the last filter condition is cleared
b_585,[Map view] Cutting points are not displayed on mobile (unselected state)
b_586,[Inspection list] [Empty....] message in Inspection list should be similar with the one in Update timeline
b_587,[Tenant admin - notification] Unread notifications count not showing when user logs back in
b_588,[Tenant admin - notification] All TA can receive notification when a new permission is added (expected: only TA of tenant subscribed to that app can received)
b_589,[Tenant admin - notification] TA just only navigates to TM instead of Tenant subscribed app page
b_590,[Tenant admin - notification] New notifications are not displayed when a new permission is added (must be refresh)
b_591,[Launcher page] Navigating to 404 page when clicking Asset Explorer on Launcher page
b_592,[Map view] Marker doesn't display information reflecting an active filter on hover over
b_593,[Platform built-in role permission configuration] Added date of a new permission that is added to a platform role is incorrect
b_594,[Tenant detail] Tenant GUID is null even though it has value in response data
b_595,[Tenant detail] BA/TA cannot update tenant info even though he is assigned that permission
b_596,[Subscribe business app for tenant] TA cannot subscribe a business app for his tenant
b_597,[Tenant role management] TA doesn't have permission to create a new tenant role
b_598,[Tenant role management] Assignable user list is displayed in assigned user table in tenant role
b_599,[Tenant management] BA cannot create a new tenant
b_600,[Subscribe business app for tenant] Flow for inactive tenant
b_601,[Tenant management] Navigating to empty tenant list when TA/BA clicks on a notification & has no that permission
b_602,[Tenant user management] Empty popup is displayed instead of message when create a existed user in the tenant
b_603,[Tenant activity log] Activity log is not showing correct content
b_604,[Configure app permission for tenant] TA cannot configure optional permission of subscribed app
b_605,[Activity log] Cannot load activity logs after removing then adding all user to a tenant role
b_606,[Platform role management] SA cannot remove user from a platform role
b_607,[Subscribe business app for tenant] The content is displayed in the small height view
b_608,[Tenant management] Warning message is missing space
b_609,[Tenant detail] Empty page is displayed if BA/TA doesn't have permission to view his tenant info
b_610,[Tenant detail] Empty popup is displayed if TA doesn't have permission to get Tenant available list
b_611,[Create user under tenant] Missing [Dismiss] button in the warning dialog
b_612,[Tenant detail] Loading indicator is still displayed instead of the previous page when refreshing from the warning popup
b_613,Layout desktop breaks when using filter with small windows
b_614,[Prioritize inspection list] No filter result message is incorrect
b_615,[Map view] Cutting point on map are not rendered correctly after some quick drags
b_616,[Filter pipeline segments] Result of filtering by inspection status is incorrect
b_617,[Filter chip] Dropdown icon is not the same design
b_618,[Filter pipeline segments] The filter result with conditions in inspection session is the result of the previous filtering
b_619,[Filter chip] The chip of Target & Vendor is displayed with no content
b_620,[Filter chip] [X] button does not clear data in the filter panel
b_621,[Filter pipeline segments] Some cases cannot filter by current design
b_622,[Filter pipeline segments] Result of filtering by Inspection status is incorrect (case: Inspection status is not inspected)
b_623,Server Error in '/' Application.
b_624,[Filter pipeline segments] Result of filtering by date is incorrect if the filter date is close to the inspection date
b_625,[Search inspection by client line name] Search results are incorrect
b_626,[AE] Mobile layout is broken
b_627,[Inspection list] The sorting of inspection list is incorrect after filtering
b_628,[Inspection list] Blank area appears if previous state is search + filter with no result
b_629,[[Search inspection by client line name] Search results are incorrect
b_630,[Inspection list] Apply button in inspection filter should display something to inform user that it's filtering
b_631,[Application management] Cannot load/create applications
b_632,[Platform role management] Cannot add permissions/users to a built-in role
b_633,[Map view] Cutting point is not rendered on Android
b_634,"[Inspection list] if switching between landscape mode and portrait mode, the app will be reloaded"
b_635,[Segment information] Layout does not fit on mobile
b_636,[Search inspection by client line name] User can't see the input when typing
b_637,[Go to GPS] User can't see the input when typing
b_638,[Go to GPS] Go to GPS control button doesn't response on tap
b_639,"The more exact search key I enter, the better search result I should get"
b_640,[Subscribe business app for tenant] Subscribed date is not displayed
b_641,"After redirecting from login with TOTP success, it keeps loading forever"
b_642,[Notification] All notifications of Operation Admin are disappeared if the added permission is removed & the page is refreshed
b_643,[Notification] Sometimes user must be reload to get the new notifications
b_644,[Notification] Tenant user can't receive notification when a new permission is added to Notification Management
b_645,[Notification] User can't receive any notifications from Admin apps
b_646,[Notification] Page content is incorrect when navigating between notifications
b_647,[Warning dialog] Dialog is disappeared if user refreshes the page without doing nothing
b_648,[Create/ Add ... dialog] Create/ Add button is disabled if user clicks Cancel after he comes back from Try again dialog
b_649,[Bottom right icons] The icon disappears the first time it is clicked
b_650,[Notification in tenant] Link to the app is incorrect (404)
b_651,[Notification in tenant] Users receive notification although their role hasn't assigned that permission
b_652,[Notification] Notification list is sorted by title after clicking a notification
b_653,[Notification] Notification flow when OA adds new permission to app is not working
b_654,[Search inspection] History list is pushed down after opening the keyboard
b_655,[Notification in tenant] Notifications are not created when TA disables a permission
b_656,[Notification in tenant] Notification content is incorrect
b_657,[Notification] Notification list is empty if user logs out & logs in again
b_658,[Notification in tenant] Navigation to an application mentioned by the notification doesn't work in case user receiving the notification is not subscribed to that app
b_659,Remove the confusing words in title of some notification
b_660,[Navigation tool] Static content is different from design
b_661,[Create service request] Error message for value 0 in length field does not match the design
b_662,[Overview] Header does not match design guideline
b_663,[Save pipeline questionnaire answer] No confirmation when user clicks [Close] after editing
b_664,[Pipeline questionnaire] Question in the branch must be displayed if user selects options on that question (must be refresh the page now)
b_665,[Pipeline questionnaire] No reflection on Navigation tool when scrolling on pipeline questionnaire
b_666,[Notification] Notification content from PCS is not displayed correctly
b_667,[Notification] No real-time notification for ROSEN personnel when a new service request is created
b_668,[Notification] Notification content from PLQ is not displayed correctly
b_669,Transaction cost display in frontend in long decimal format
b_670,Update static code estimation
b_671,"[Request page] On mobile, the last created request is covered"
b_672,[Request page] Filter options are covered if there is no request in the list
b_673,[Request page] Add button is not shown when scrolling down
b_674,[Request page] A blank space is shown if scroll down in the service panel
b_675,[PLQ permissions] Data is not correct with sensitive permission on PLQ service
b_676,[Search] Static content is incorrect
b_677,"[Search] On mobile, request page is not displayed after clicking [X] button in search input"
b_678,[Filter & Sort] Filter & Sort panel is displayed at the bottom of the page without clicking icon to open it
b_679,[Filter & Sort] Static content is incorrect
b_680,[Quick start] Can't close/ navigate in Quick Start
b_681,[Quick start] Can't use swipe to navigate from step 2
b_682,[Contextual help] Cannot reset position of Contextual help
b_683,[Contextual help] Cursor does not show that content is clickable
b_684,[Contextual help] Contextual help is not displayed in view port
b_685,Preparing assetx2
b_686,[Quick start] Quick start popup is not fitted with small height viewport
b_687,"[Quick start] On mobile, header must be covered if Quick start popup is opened"
b_688,[Contextual help] Sample image doesn't reflect step description
b_689,[App subscription] User can use application even if he isn't subscribed
b_690,[PLQ History] Incorrect sort (expected: newest to lowest)
b_691,[PLQ History] Modified information is incorrect
b_692,[PLQ History] New logs aren't displayed in real-time for ROSEN personnel
b_693,[PLQ History] ROSEN personnel doesn't receive a notification when PLQ is changed
b_694,[Notification] Tenant admin doesn't get real-time notifications when permission is disabled in a subscribed app
b_695,Caching issue
b_696,Loading forever
b_697,"[Contextual help] Help content becomes blank when scrolling down in any detail, then back to Help"
b_698,Error 500 when using AE application
